"C_XY","E_C_XY","Var_C_XY","n","p1","p2","m_A","sd_A","sd_E"
1359.74190612281,2176.43619125265,361968.505088286,100,5,5,0,0,1
3332.42883530717,2425.5426551723,471143.186908434,100,5,5,0,0,1
2639.90959134198,2736.28226250124,600558.60206959,100,5,5,0,0,1
1694.09205620093,2481.32472038518,491164.995856279,100,5,5,0,0,1
2094.00332921496,2755.15004329147,597115.577518975,100,5,5,0,0,1
2669.40349904582,2667.70367405423,560381.641937871,100,5,5,0,0,1
3906.5031788176,2523.91308986947,517897.674679184,100,5,5,0,0,1
3679.05711501215,2744.33632165888,581824.961594959,100,5,5,0,0,1
2036.45687899675,2271.08801706344,401199.373001454,100,5,5,0,0,1
2126.6028922695,2091.12879535361,358067.206740281,100,5,5,0,0,1
3654.22191746567,2701.86081832986,583778.758521008,100,5,5,0,0,1
2426.26587744624,2462.52771775239,461901.024745297,100,5,5,0,0,1
2109.09372151108,2060.88892590366,353477.770195141,100,5,5,0,0,1
1914.6457888586,2259.73819675896,414014.406390955,100,5,5,0,0,1
2631.7911100068,2802.06703998946,632928.84098252,100,5,5,0,0,1
3325.22282749044,3038.45719546872,758078.729970698,100,5,5,0,0,1
3694.63409708868,2399.49785058278,452144.193216034,100,5,5,0,0,1
1701.64400729016,2379.83420443094,458722.54243908,100,5,5,0,0,1
2199.44870542598,2512.3171260822,509743.051688035,100,5,5,0,0,1
2882.37544366229,2608.21621002681,535653.454017716,100,5,5,0,0,1
2191.27879923414,2928.96440217127,714850.108718826,100,5,5,0,0,1
2619.19501786433,2498.29154600259,483594.18507456,100,5,5,0,0,1
2224.66370554153,2313.45118695963,428978.73939243,100,5,5,0,0,1
2311.93600633482,2417.29045620004,467475.575992081,100,5,5,0,0,1
1960.51073890504,2652.1922358581,577228.787060182,100,5,5,0,0,1
2489.86296688121,2618.74240536045,573401.273663376,100,5,5,0,0,1
1858.49442829388,2232.6361605727,415056.663824447,100,5,5,0,0,1
2615.66023972527,2693.86469790009,577341.187711012,100,5,5,0,0,1
1945.45876605147,2300.12603806873,412499.504498224,100,5,5,0,0,1
1913.71283887431,2365.97017512375,438952.189094412,100,5,5,0,0,1
3125.53192868504,2725.620767081,615837.498520646,100,5,5,0,0,1
2607.15388597904,2272.90148210683,402054.817487062,100,5,5,0,0,1
2627.31611653104,2439.36664741551,477644.96772362,100,5,5,0,0,1
1801.36348558916,3164.78666602044,789819.05768373,100,5,5,0,0,1
1000.50026032237,2507.71615055216,495008.728515456,100,5,5,0,0,1
1657.00375692382,2011.64699466861,327245.435806559,100,5,5,0,0,1
2334.41030963326,2735.19208840797,589564.080116157,100,5,5,0,0,1
2633.9127958081,2647.71347847163,545250.093842521,100,5,5,0,0,1
3980.08256157352,2995.1421221875,742731.897320623,100,5,5,0,0,1
3301.98780833304,2388.47799595856,462899.582147197,100,5,5,0,0,1
1921.89552608518,2295.51418823811,416116.076041675,100,5,5,0,0,1
3620.4161881459,2453.43689063242,460023.406122298,100,5,5,0,0,1
2864.14862686464,2552.26097158829,518962.067916335,100,5,5,0,0,1
1968.32849407196,2655.09034062334,573181.419743337,100,5,5,0,0,1
2093.33670253701,2436.87258705317,486710.12329899,100,5,5,0,0,1
2115.03145390715,2055.92375269788,345231.057943316,100,5,5,0,0,1
2058.77652347461,2304.41944011177,435002.531412786,100,5,5,0,0,1
1726.20035072664,2362.02513852723,452361.341834171,100,5,5,0,0,1
2632.06540923855,2260.00157952088,387564.357911866,100,5,5,0,0,1
1796.21274467724,2346.29752237247,427309.945219595,100,5,5,0,0,1
2030.57972541591,2446.00598054692,503566.977001314,100,5,5,0,0,1
1206.07473794999,2313.80539241941,439448.10589931,100,5,5,0,0,1
4889.21984675786,2659.17306481775,549730.725308001,100,5,5,0,0,1
2037.80530633011,2273.8524850783,403658.865921666,100,5,5,0,0,1
2521.84870193478,2505.19017211337,512676.89212959,100,5,5,0,0,1
2673.07492682263,2273.09789268018,410292.18689101,100,5,5,0,0,1
2004.59465156579,2155.40741109015,381647.159330248,100,5,5,0,0,1
4161.28021173176,2603.78026746465,549073.206547425,100,5,5,0,0,1
1988.02590707383,2441.43052643427,475372.03356038,100,5,5,0,0,1
2406.71787309492,2803.09845447901,636086.323543472,100,5,5,0,0,1
3003.54854169618,2970.45902247711,706416.090326124,100,5,5,0,0,1
1659.64096309701,2345.57637191135,446171.458442235,100,5,5,0,0,1
2237.73331231742,2503.778941651,498064.655103461,100,5,5,0,0,1
2345.05217261557,2591.11769730248,515614.980323428,100,5,5,0,0,1
2989.70935258814,2924.56102177121,700242.333375171,100,5,5,0,0,1
2174.94265899413,2550.93303893908,520759.828427246,100,5,5,0,0,1
1745.6423016498,2072.47836070069,335360.644296615,100,5,5,0,0,1
3141.39673346252,2221.28733578829,409716.946979987,100,5,5,0,0,1
2513.40943444539,2562.90503564626,553590.883080602,100,5,5,0,0,1
2440.82760757103,2664.05240283698,550958.310035915,100,5,5,0,0,1
2790.8317322206,2758.90213486715,603268.123292563,100,5,5,0,0,1
2525.09981436174,2355.07213158233,465269.099527419,100,5,5,0,0,1
3010.80466928146,2583.85754091479,545432.868545421,100,5,5,0,0,1
1830.08923206854,2494.81295019526,512595.597426849,100,5,5,0,0,1
2994.328050162,2756.98281869728,606408.157847896,100,5,5,0,0,1
3629.8017656903,2385.77549343284,462118.828652928,100,5,5,0,0,1
2329.88966032322,2327.16366648684,418656.77500731,100,5,5,0,0,1
2495.50660271177,2324.90181313491,425572.595813682,100,5,5,0,0,1
2009.67934800097,2435.12337550634,484168.249420776,100,5,5,0,0,1
2284.88017186176,2056.69699144627,337549.189945994,100,5,5,0,0,1
2728.27964023163,2563.0511686428,510954.023240658,100,5,5,0,0,1
3606.13399633856,2662.21651478279,571138.625620684,100,5,5,0,0,1
2123.73113385948,2164.23986341915,366422.075985307,100,5,5,0,0,1
3427.78940350049,2176.62895385036,369705.745377183,100,5,5,0,0,1
1614.93668690667,2392.11268421651,456157.521465129,100,5,5,0,0,1
3214.26857527183,2199.60144841418,371598.44089989,100,5,5,0,0,1
1833.23011945261,2155.95299266008,375908.569183455,100,5,5,0,0,1
2563.87446738031,2161.30580988193,375406.521028378,100,5,5,0,0,1
2071.7533746456,1874.06287221012,274985.311330955,100,5,5,0,0,1
2418.06542084125,2163.27595406147,388718.653265119,100,5,5,0,0,1
2394.94830656289,2689.53675096489,582574.944521983,100,5,5,0,0,1
1785.75063718676,2869.16286649404,657392.147766572,100,5,5,0,0,1
2876.6907906557,2677.34251795812,555330.807868127,100,5,5,0,0,1
1495.73570637037,2477.55718897356,496462.309577305,100,5,5,0,0,1
2717.74964931454,2474.56884165355,484049.904511715,100,5,5,0,0,1
2230.54056574949,2631.65780193721,568809.981636699,100,5,5,0,0,1
2491.3776924143,2496.92261902026,501941.305772389,100,5,5,0,0,1
3431.83051515939,2478.54130592731,506539.204046686,100,5,5,0,0,1
2050.48323134556,2672.52504221652,553944.388483376,100,5,5,0,0,1
2621.68549775283,2613.65013298732,588343.751857949,100,5,5,0,0,1
3224.4855339066,2705.96517688384,631693.085500786,100,5,5,0,0,1
3379.78071638416,2567.14623755721,532214.135371835,100,5,5,0,0,1
1474.5743998915,2708.9344552116,608735.398016458,100,5,5,0,0,1
3650.74615408351,2589.05556558926,573769.07979952,100,5,5,0,0,1
2342.20312908477,2642.92389025778,543876.659290131,100,5,5,0,0,1
1911.98988558293,2347.24077079363,438794.030384091,100,5,5,0,0,1
2542.25111112801,2618.00845581775,529521.545319626,100,5,5,0,0,1
2652.58627120937,2442.67494360769,502821.810957846,100,5,5,0,0,1
2149.29416316217,2318.82668712559,440425.683872788,100,5,5,0,0,1
1762.33336317229,2198.01588897358,394059.211931145,100,5,5,0,0,1
2162.09607847223,2446.33919162232,472924.710558053,100,5,5,0,0,1
1278.18195037588,2252.69397769316,406550.448384589,100,5,5,0,0,1
1716.41281156998,2384.73224903067,464059.112911033,100,5,5,0,0,1
2006.10413504367,2374.23493666313,440668.42913926,100,5,5,0,0,1
2564.70373519994,2604.42652558879,518174.534897296,100,5,5,0,0,1
2665.57962510917,2467.35100677111,480713.531625027,100,5,5,0,0,1
2896.18178426117,2225.92426438298,385368.473055444,100,5,5,0,0,1
2046.10478870001,2677.2094667418,578268.905293835,100,5,5,0,0,1
3089.79484985374,2912.67337954479,690981.739001785,100,5,5,0,0,1
1465.59590695004,2726.7427222589,584141.647424256,100,5,5,0,0,1
2451.19791789634,2804.29206724363,634843.024137532,100,5,5,0,0,1
2774.83818827637,2411.97583667859,448182.45327238,100,5,5,0,0,1
1476.13887987056,2491.08305072732,484332.794768844,100,5,5,0,0,1
1961.17230211644,2221.58832241975,380806.024295634,100,5,5,0,0,1
1397.37872350768,2041.58079678674,339975.392152647,100,5,5,0,0,1
3247.39728753203,2790.75462992819,622480.538760358,100,5,5,0,0,1
1928.18741429155,2225.67143581641,383360.534175228,100,5,5,0,0,1
2822.67653296319,2487.9193925526,494567.163071682,100,5,5,0,0,1
1740.49389066524,2555.17672611492,509443.458571147,100,5,5,0,0,1
3647.9121085571,2640.58130959577,542324.089821109,100,5,5,0,0,1
2847.91489286392,2464.84642390664,473707.985923572,100,5,5,0,0,1
2560.84606723621,2852.10310448152,632679.777355928,100,5,5,0,0,1
2578.90589700754,2932.69713365829,663563.808348569,100,5,5,0,0,1
2741.19631578481,2081.68633781681,360959.042898551,100,5,5,0,0,1
2483.83550886372,2205.6074139135,376855.454420665,100,5,5,0,0,1
2673.43996531879,2302.89634449101,433708.743115877,100,5,5,0,0,1
2739.94870047314,2321.25642447854,445425.638291605,100,5,5,0,0,1
1381.82324566655,2216.07277865153,390652.265963524,100,5,5,0,0,1
2655.50220767526,2514.80649951691,515401.195489794,100,5,5,0,0,1
1022.01315478713,2029.59611250749,338587.058259529,100,5,5,0,0,1
1773.44202620016,2360.70821525216,450332.634156979,100,5,5,0,0,1
2026.69498775776,2360.81649064939,444444.052785445,100,5,5,0,0,1
1973.24300111542,2469.75375401168,464374.341342118,100,5,5,0,0,1
4274.3196427211,2727.34160547925,622708.348590183,100,5,5,0,0,1
1824.56250334607,2809.47920827893,619416.87898412,100,5,5,0,0,1
1147.57159536244,2494.93646267019,496690.948424372,100,5,5,0,0,1
1424.29902156407,2257.53081208232,422645.463004331,100,5,5,0,0,1
2030.9654566173,2300.36940452423,415913.882770656,100,5,5,0,0,1
3177.023386023,2665.00806434082,558784.706384721,100,5,5,0,0,1
3001.81425525776,2381.64667565274,474933.487742345,100,5,5,0,0,1
3103.50416822397,2330.77323772475,449842.569427936,100,5,5,0,0,1
2256.86000185536,2443.43402085621,481158.419183832,100,5,5,0,0,1
1840.87303156563,2324.38567473324,407822.640024648,100,5,5,0,0,1
1657.37208369037,2417.04498549473,455596.490757567,100,5,5,0,0,1
1837.1853325453,2707.41147971735,590166.615772457,100,5,5,0,0,1
2337.75310108251,2305.61310681381,420602.873142774,100,5,5,0,0,1
1716.90913834861,2245.89621378979,393540.554451604,100,5,5,0,0,1
1862.13836602705,2558.74013247244,513174.505767808,100,5,5,0,0,1
2639.87503257173,2588.38011922025,533431.182735102,100,5,5,0,0,1
2147.94643105328,1983.21040513255,311186.95271502,100,5,5,0,0,1
3243.31504529802,2693.00120229398,589345.162426237,100,5,5,0,0,1
2345.97440999685,2648.17418208971,579390.036242069,100,5,5,0,0,1
2144.47221876859,2254.85298476162,404888.40719032,100,5,5,0,0,1
1753.99559290449,2258.65400813337,407616.640201165,100,5,5,0,0,1
2296.91558086458,2138.0552517231,365097.505202599,100,5,5,0,0,1
2692.86500186558,2575.86825834705,545737.388640599,100,5,5,0,0,1
1945.24578611382,1926.76510458228,295117.741442528,100,5,5,0,0,1
2019.85515359493,2491.98022406451,499724.748008495,100,5,5,0,0,1
2646.10927007212,2529.50814714232,484105.552349839,100,5,5,0,0,1
1881.64742075896,2244.46616331448,389763.498722211,100,5,5,0,0,1
3067.12968244822,2663.16202849514,573780.799984643,100,5,5,0,0,1
3067.48350659353,2500.7335553163,489905.060233857,100,5,5,0,0,1
